state	rate
Alabama	6.3
Alaska	6.5
Arizona	8.3
Arkansas	7.4
California	8.9
Colorado	7
Connecticut	8.1
Delaware	7.3
District of Columbia	8.7
Florida	7
Georgia	8.7
Hawaii	4.3
Idaho	6.8
Illinois	9.2
Indiana	8.1
Iowa	4.9
Kansas	5.9
Kentucky	8.4
Louisiana	7
Maine	7
Maryland	7
Massachusetts	7.2
Michigan	9
Minnesota	5.1
Mississippi	8.5
Missouri	7.2
Montana	5.3
Nebraska	4.2
Nevada	9.5
New Hampshire	5
New Jersey	8.5
New Mexico	6.8
New York	7.6
North Carolina	8.7
North Dakota	3
Ohio	7.3
Oklahoma	5.3
Oregon	8.1
Pennsylvania	7.7
Rhode Island	9.1
South Carolina	8.1
South Dakota	3.8
Tennessee	8.5
Texas	6.4
Utah	4.7
Vermont	4.6
Virginia	5.8
Washington	7
West Virginia	6.3
Wisconsin	6.7
Wyoming	4.6
